#{"t_start": 1757611876.3384564, "env_id": "None"}
r,l,t
-95.0,5,5.384058
-95.0,5,5.391626
-70.0,5,5.395407
-120.0,5,5.399058
-95.0,5,5.402779
-95.0,5,5.409173
-120.0,5,5.415706
-70.0,5,5.421169
-95.0,5,5.425524
-120.0,5,5.432413
-95.0,5,5.437682
-95.0,5,5.44197
-95.0,5,5.446285
-95.0,5,5.451956
-70.0,5,5.456526
-95.0,5,5.46095
-95.0,5,5.465536
-120.0,5,5.473459
-95.0,5,5.477618
-120.0,5,5.481857
-95.0,5,5.485868
-70.0,5,5.491399
-120.0,5,5.496177
-95.0,5,5.499453
-95.0,5,5.50299
-95.0,5,5.509307
-70.0,5,5.513574
-120.0,5,5.519315
-120.0,5,5.523559
-95.0,5,5.529806
-95.0,5,5.53407
-95.0,5,5.538027
-70.0,5,5.542729
-120.0,5,5.549007
-120.0,5,5.553203
-95.0,5,5.558109
-95.0,5,5.562904
-95.0,5,5.572088
-95.0,5,5.579951
-95.0,5,5.585749
-70.0,5,5.590802
-95.0,5,5.599064
-95.0,5,5.604617
-120.0,5,5.610777
-120.0,5,5.615942
-120.0,5,5.624706
-95.0,5,5.631491
-95.0,5,5.635371
-120.0,5,5.63937
-120.0,5,5.645663
-95.0,5,5.649628
-95.0,5,5.654031
-70.0,5,5.658388
-120.0,5,5.670521
-95.0,5,5.677352
-95.0,5,5.682613
-95.0,5,5.687665
-120.0,5,5.69568
-95.0,5,5.7001
-95.0,5,5.704787
-120.0,5,5.709472
-95.0,5,5.716385
-95.0,5,5.720738
-120.0,5,5.724703
-95.0,5,5.729172
-120.0,5,5.735752
-95.0,5,5.73996
-95.0,5,5.745651
-95.0,5,5.749769
-95.0,5,5.756025
-120.0,5,5.759948
-95.0,5,5.763574
-95.0,5,5.76766
-120.0,5,5.774061
-120.0,5,5.778227
-95.0,5,5.781749
-120.0,5,5.785585
-70.0,5,5.793458
-95.0,5,5.801286
-120.0,5,5.808426
-120.0,5,5.815597
-120.0,5,5.824985
-120.0,5,5.831086
-120.0,5,5.836037
-120.0,5,5.840402
-95.0,5,5.847431
-95.0,5,5.85171
-95.0,5,5.856573
-70.0,5,5.8623
-95.0,5,5.869474
-95.0,5,5.874025
-95.0,5,5.878307
-120.0,5,5.882322
-120.0,5,5.888486
-95.0,5,5.892783
-120.0,5,5.896981
-95.0,5,5.902478
-120.0,5,5.911343
-95.0,5,5.916704
-95.0,5,5.92167
-95.0,5,5.927026
-95.0,5,5.934975
-70.0,5,5.941152
-95.0,5,5.946467
-95.0,5,5.950454
-95.0,5,5.95668
-70.0,5,5.960829
-95.0,5,5.967009
-70.0,5,5.971611
-70.0,5,5.976822
-70.0,5,5.980936
-95.0,5,5.984758
-95.0,5,5.989906
-70.0,5,5.995867
-95.0,5,5.999407
-95.0,5,6.003765
-70.0,5,6.008178
-95.0,5,6.016806
-95.0,5,6.021904
-95.0,5,6.027676
-70.0,5,6.03302
-95.0,5,6.039659
-70.0,5,6.044455
-70.0,5,6.049066
-70.0,5,6.053873
-120.0,5,6.060566
-70.0,5,6.064477
-95.0,5,6.069716
-70.0,5,6.077963
-70.0,5,6.08865
-95.0,5,6.095708
-95.0,5,6.1036
-95.0,5,6.109663
-95.0,5,6.118483
-70.0,5,6.123519
-70.0,5,6.128264
-70.0,5,6.132676
-95.0,5,6.141388
-70.0,5,6.146601
-70.0,5,6.151639
-95.0,5,6.156162
-95.0,5,6.162597
-120.0,5,6.166731
-95.0,5,6.170206
-95.0,5,6.174623
-95.0,5,6.180548
-95.0,5,6.184399
-120.0,5,6.189041
-70.0,5,6.19427
-120.0,5,6.20113
-95.0,5,6.205822
-120.0,5,6.211056
-95.0,5,6.215886
-95.0,5,6.222779
-95.0,5,6.227173
-95.0,5,6.231846
-95.0,5,6.23602
-70.0,5,6.243938
-95.0,5,6.250692
-95.0,5,6.256562
-70.0,5,6.261571
-120.0,5,6.268531
-95.0,5,6.273105
-70.0,5,6.277794
-95.0,5,6.281736
-95.0,5,6.288155
-95.0,5,6.292425
-70.0,5,6.299111
-95.0,5,6.303692
-70.0,5,6.310366
-95.0,5,6.313966
-95.0,5,6.317549
-95.0,5,6.321409
-70.0,5,6.327734
-70.0,5,6.331985
-95.0,5,6.336546
-70.0,5,6.341337
-95.0,5,6.349406
-120.0,5,6.354123
-70.0,5,6.358784
-95.0,5,6.363131
-120.0,5,6.369016
-95.0,5,6.37329
-95.0,5,6.377133
-95.0,5,6.381318
-95.0,5,6.387274
-120.0,5,6.390836
-120.0,5,6.396919
-95.0,5,6.401892
-95.0,5,6.407547
-70.0,5,6.411688
-120.0,5,6.415479
-70.0,5,6.419608
-120.0,5,6.425162
-70.0,5,6.429674
-95.0,5,6.434367
-120.0,5,6.439473
-95.0,5,6.448081
-70.0,5,6.452673
-120.0,5,6.457025
-120.0,5,6.461592
-120.0,5,6.469589
-95.0,5,6.474264
-95.0,5,6.478752
-95.0,5,6.483409
-95.0,5,6.489814
-120.0,5,6.493968
-95.0,5,6.499994
-95.0,5,6.504778
-95.0,5,6.510723
-95.0,5,6.515838
-70.0,5,6.520599
-120.0,5,6.52553
-120.0,5,6.531982
-95.0,5,6.536248
-120.0,5,6.541173
-95.0,5,6.545463
-120.0,5,6.553484
-120.0,5,6.558074
-120.0,5,6.562367
-95.0,5,6.566226
-120.0,5,6.572497
-95.0,5,6.576725
-95.0,5,6.581185
-95.0,5,6.585154
-95.0,5,6.591513
-95.0,5,6.595705
-95.0,5,6.602206
-95.0,5,6.607986
-95.0,5,6.615853
-70.0,5,6.620008
-95.0,5,6.624501
-95.0,5,6.629137
-95.0,5,6.635506
-95.0,5,6.639696
-95.0,5,6.643981
-95.0,5,6.648441
-120.0,5,6.65824
-120.0,5,6.663717
-70.0,5,6.668571
-95.0,5,6.673059
-70.0,5,6.679158
-95.0,5,6.683311
-95.0,5,6.687765
-95.0,5,6.692226
-70.0,5,6.698517
-70.0,5,6.703121
-70.0,5,6.708433
-120.0,5,6.714939
-95.0,5,6.722121
-95.0,5,6.726316
-95.0,5,6.730294
-95.0,5,6.735282
-95.0,5,6.742022
-70.0,5,6.748202
-95.0,5,6.753403
-70.0,5,6.758296
-70.0,5,6.766104
-70.0,5,6.771055
-70.0,5,6.775973
-70.0,5,6.781197
-70.0,5,6.788401
-70.0,5,6.792533
-70.0,5,6.79679
-70.0,5,6.801022
-95.0,5,6.807271
-95.0,5,6.811063
-95.0,5,6.817788
-95.0,5,6.823419
-70.0,5,6.829383
-95.0,5,6.833513
-70.0,5,6.838215
-70.0,5,6.842691
-95.0,5,6.849027
-70.0,5,6.853263
-70.0,5,6.858266
-95.0,5,6.862593
-70.0,5,6.871403
-70.0,5,6.876073
-70.0,5,6.880689
-70.0,5,6.885398
-70.0,5,6.891979
-70.0,5,6.896861
-70.0,5,6.901069
-70.0,5,6.905204
-70.0,5,6.911472
-120.0,5,6.915622
-70.0,5,6.922395
-70.0,5,6.927201
-70.0,5,6.933961
-70.0,5,6.938514
-70.0,5,6.942709
-70.0,5,6.946949
-95.0,5,6.953528
-95.0,5,6.958122
-70.0,5,6.963175
-70.0,5,6.967837
-95.0,5,6.975044
-70.0,5,6.979474
-95.0,5,6.984119
-95.0,5,6.988728
-70.0,5,6.995261
-70.0,5,6.999754
-70.0,5,7.004205
-120.0,5,7.008375
-70.0,5,7.015046
-70.0,5,7.020983
-70.0,5,7.027037
-70.0,5,7.034245
-70.0,5,7.045425
-95.0,5,7.050716
-70.0,5,7.056305
-70.0,5,7.062938
-95.0,5,7.071923
-95.0,5,7.078812
-70.0,5,7.084529
-95.0,5,7.089272
-70.0,5,7.096465
-70.0,5,7.101117
-70.0,5,7.105174
-70.0,5,7.109365
-95.0,5,7.115387
-70.0,5,7.121188
-70.0,5,7.126081
-70.0,5,7.130646
-120.0,5,7.137209
-70.0,5,7.141302
-70.0,5,7.147518
-70.0,5,7.152904
-70.0,5,7.159453
-70.0,5,7.163908
-70.0,5,7.168031
-70.0,5,7.172504
-70.0,5,7.178535
-70.0,5,7.182953
-70.0,5,7.187065
-70.0,5,7.190614
-70.0,5,7.198794
-95.0,5,7.205622
-70.0,5,7.211039
-70.0,5,7.215814
-70.0,5,7.222285
-70.0,5,7.226685
-70.0,5,7.231076
-70.0,5,7.234954
-70.0,5,7.241348
-70.0,5,7.245955
-70.0,5,7.252535
-70.0,5,7.257235
-70.0,5,7.263761
-70.0,5,7.268478
-70.0,5,7.27265
-70.0,5,7.276743
-70.0,5,7.282731
-70.0,5,7.286876
-70.0,5,7.293395
-70.0,5,7.301555
-70.0,5,7.310722
-70.0,5,7.316198
-70.0,5,7.321384
-70.0,5,7.326277
-70.0,5,7.333015
-120.0,5,7.337227
-70.0,5,7.34178
-95.0,5,7.346267
-70.0,5,7.352743
-70.0,5,7.35723
-70.0,5,7.363517
-70.0,5,7.368502
-70.0,5,7.375392
-95.0,5,7.379544
-70.0,5,7.383701
-70.0,5,7.388096
-70.0,5,7.394589
-70.0,5,7.399418
-70.0,5,7.405012
-70.0,5,7.410451
-70.0,5,7.420759
-70.0,5,7.42622
-70.0,5,7.431049
-70.0,5,7.435806
-70.0,5,7.442785
-70.0,5,7.447364
-70.0,5,7.451601
-70.0,5,7.456599
-70.0,5,7.46327
-70.0,5,7.46809
-95.0,5,7.474079
-70.0,5,7.478817
-70.0,5,7.485128
-70.0,5,7.489792
-70.0,5,7.494239
-70.0,5,7.49891
-70.0,5,7.505733
-70.0,5,7.510389
-70.0,5,7.515078
-70.0,5,7.519478
-70.0,5,7.527364
-70.0,5,7.532351
-70.0,5,7.5369
-70.0,5,7.541396
-70.0,5,7.547656
-70.0,5,7.552065
-70.0,5,7.556463
-70.0,5,7.560791
-70.0,5,7.567278
-70.0,5,7.57117
-70.0,5,7.577482
-70.0,5,7.582471
-70.0,5,7.588897
-70.0,5,7.593305
-70.0,5,7.597697
-70.0,5,7.602178
-70.0,5,7.608448
-70.0,5,7.612778
-70.0,5,7.617688
-70.0,5,7.622141
-70.0,5,7.630185
-70.0,5,7.634813
-70.0,5,7.639369
-70.0,5,7.643755
-70.0,5,7.650092
-70.0,5,7.654593
-70.0,5,7.659038
-70.0,5,7.663433
-70.0,5,7.670074
-70.0,5,7.674781
-70.0,5,7.681052
-70.0,5,7.68573
-70.0,5,7.691708
-70.0,5,7.696112
-70.0,5,7.700501
-70.0,5,7.704897
-70.0,5,7.711239
-70.0,5,7.715692
-70.0,5,7.720339
-70.0,5,7.725082
-70.0,5,7.73361
-70.0,5,7.739143
-70.0,5,7.743827
-70.0,5,7.747851
-70.0,5,7.753971
-70.0,5,7.758376
-70.0,5,7.762867
-70.0,5,7.767234
-70.0,5,7.773946
-70.0,5,7.778927
-70.0,5,7.785041
-70.0,5,7.789802
-95.0,5,7.795967
-70.0,5,7.800365
-70.0,5,7.80445
-70.0,5,7.808891
-70.0,5,7.815136
-70.0,5,7.819508
-95.0,5,7.823562
-70.0,5,7.827897
-70.0,5,7.836049
-70.0,5,7.840949
-70.0,5,7.84529
-70.0,5,7.849674
-70.0,5,7.855706
-70.0,5,7.859805
-70.0,5,7.86428
-70.0,5,7.868741
-95.0,5,7.874814
-70.0,5,7.878902
-70.0,5,7.88463
-70.0,5,7.889673
-70.0,5,7.895981
-70.0,5,7.900745
-70.0,5,7.905536
-70.0,5,7.910048
-70.0,5,7.916266
-70.0,5,7.920737
-70.0,5,7.925329
-95.0,5,7.929448
-70.0,5,7.93746
-70.0,5,7.942475
-70.0,5,7.947128
-70.0,5,7.951564
-70.0,5,7.957959
-70.0,5,7.9624
-95.0,5,7.966542
-70.0,5,7.970988
-70.0,5,7.977186
-70.0,5,7.981863
-70.0,5,7.988223
-70.0,5,7.992791
-70.0,5,7.9991
-70.0,5,8.003529
-70.0,5,8.007937
-70.0,5,8.012371
-70.0,5,8.018689
-70.0,5,8.022793
-70.0,5,8.02741
-70.0,5,8.032009
-70.0,5,8.043416
-70.0,5,8.048578
-70.0,5,8.05445
